country,provider,count,wikidata_id,wikidata_label,wikidata_description
Italy,Cinecittà - Luce,442536,,,
Italy,Cineteca di Bologna,73157,Q1092493,Cineteca di Bologna,"Film archive in Bologna, Italy"
France,Palais Galliera - Musée de la Mode de la Ville de Paris,44495,,,
France,Philharmonie de Paris,12091,Q3378907,Philharmonie de Paris,"concert hall in Paris, France"
France,Rhône-Alpes Laboratory for Historical Research,10046,,,
Germany,Deutsche Fotothek,1314229,Q655507,Deutsche Fotothek,"universal archive for art and cultural history of the Saxon State and University Library, Dresden, Germany"
Germany,State Archives of Baden-Württemberg,827603,,,
Germany,Berlin-Dahlem Botanical Garden and Botanical Museum,252957,Q163255,Botanic Garden and Botanical Museum Berlin,Botanical garden and museum located in Berlin
Germany,Berlin-Brandenburg Economic Archive,72335,Q821048,Berlin-Brandenburg Economic Archive,"German archives, Berlin-Brandenburg"
Spain,Ajuntament de Girona,208078,Q41328625,Girona City Council,local government body
Spain,Digital Library of Andalusia,145620,,,
Spain,Maresía: Prensa digitalizada y Patrimonio documental,141919,,,
Spain,Centro de Estudios de Castilla - La Mancha,94223,,,
Netherlands,Museon-Omniversum,93077,Q1954331,Museon-Omniversum,"museum in The Hague, Netherlands"
Netherlands,IMSLP/Petrucci Music Library,61552,,,
Netherlands,St. Catherine's Convent Museum,60795,Q1954426,Museum Catharijneconvent,"museum for religious art in Utrecht, the Netherlands"
Portugal,MUDE – Museu do Design,1927,,,
Portugal,Fernando Pessoa's House,1210,,,
Portugal,Lisbon's Film & Theatre School,774,,,
Portugal,Cinemateca Portuguesa - Museu do cinema,654,,,
Italy,Historical Archive of the Presidency of the Republic,212160,Q116757990,Historical Archive of the Presidency of the Republic,collection consisting essentially of the documentation received and produced by the President of the Republic of Portugal and by the respective bodies and support services
Italy,Central Institute for the Union Catalogue of Italian Libraries,66672,Q3803707,Istituto Centrale per il Catalogo Unico,Italian government agency
Italy,Central Museum of the Risorgimento in Rome,53211,,,
Italy,Experimental Cinematography Center,40538,,,
Italy,Epigraphic Dabatase Bari,40283,,,
Italy,European Library of Information and Culture,35475,Q3639582,Biblioteca Europea di Informazione e Cultura,library in Milan
Italy,Marciana National Library,29597,,,
Italy,Turin Gallery for Modern and Contemporary Art,29395,,,
Italy,Braidense National Library,21526,Q55678136,Braidense National Library of Milan,museum in Italy
Italy,Library of the S. Pietro a Majella Conservatory,20154,,,
Italy,Provincial Library Magna Capitana,13065,,,
Italy,Estense University Library,12372,,,
France,National and University Library of Strasbourg,21320,,,
Germany,Library of the Friedrich Ebert Foundation,201518,,,
Germany,Archives of Social Democracy,133032,,,
Germany,State and University Library Hamburg Carl von Ossietzky,131101,,,
Germany,Teßmann Library,115179,,,
Spain,Virtual Library of Historical Press,1735320,,,
Spain,Canary Islands Historical Photography Archive,121890,,,
Spain,Foundation Virtual Library Miguel de Cervantes,70971,,,
Spain,Digital Library of Madrid,69472,Q48983356,Digital Library of Madrid,
Portugal,Calouste Gulbenkian Foundation,3415,Q3052794,Calouste Gulbenkian Foundation,"Portuguese foundation dedicated to the promotion of the arts, philanthropy, science, and education"
