provider,country,count,provider_category,classification_source
National Library of France,France,2999310,library/archive,provider_name
Media Library of Architecture and Heritage,France,510877,library/archive,provider_name
Natural History Museum in Paris,France,502160,natural history/science institution,provider_name
Ministry of Culture,France,173279,government/administrative body,provider_name
Historical Monuments: Regional Conservation,France,128192,government/administrative body,confirmed_fix
"Ministry of Culture and Communication, Regional Archaeology Service",France,110142,government/administrative body,confirmed_fix
National Audiovisual Institute France,France,54491,audiovisual/film archive,provider_name
Interuniversity Health Library,France,47992,library/archive,provider_name
Palais Galliera - Musée de la Mode de la Ville de Paris,France,44495,art/history museum,provider_name
Mobilier National Collections,France,24284,art/history museum,manual_override
Center for Research in Ethnomusicology,France,21446,audiovisual/film archive,provider_name
National and University Library of Strasbourg,France,21320,library/archive,provider_name
House Culture Yiddish,France,14330,library/archive,manual_override
Museum of Decorative Arts,France,12967,art/history museum,provider_name
Philharmonie de Paris,France,12091,audiovisual/film archive,provider_name
National Archives of France,France,11709,library/archive,provider_name
Rhône-Alpes Laboratory for Historical Research,France,10046,academic/research institution,provider_name
Library of the Alliance Israélite Universelle,France,6229,library/archive,provider_name
The Paris Observatory Library,France,3085,library/archive,provider_name
Departmental Units of Architecture and Heritage,France,2587,government/administrative body,manual_override
PETRAE - AUSONIUS,France,2571,academic/research institution,manual_override
House for the Social Sciences and Humanities of Dijon,France,2116,academic/research institution,manual_override
Occitan Media Library,France,1962,library/archive,provider_name
National Archeology Museum,France,1333,art/history museum,provider_name
National Conservatory of Arts and Crafts,France,1274,academic/research institution,confirmed_fix
Centre for Research on Sound Space and urban environment,France,910,academic/research institution,provider_name
Models and Simulations for Architecture and Heritage,France,880,academic/research institution,wikidata_description
Bibracte EPCC,France,539,other,manual_override
Babord-Num,France,487,library/archive,manual_override
"Virtual Humanist Libraries, Tours University",France,384,library/archive,provider_name
Media library at Centre National de la Danse,France,266,library/archive,provider_name
Archaeological Society of Bordeaux,France,260,art/history museum,provider_name
Clermont Library,France,231,library/archive,provider_name
Virtual library on the first socialisms,France,177,library/archive,provider_name
Conservatory of the Gironde Estuary,France,159,government/administrative body,confirmed_fix
Pôle de la Mémoire Locale,France,119,other,manual_override
TheFactStories,France,85,other,manual_override
Institute of Computer Science - Foundation for Research and Technology Hellas,France,30,academic/research institution,provider_name
Cinémémoire - Amateur Film Library of Marseille,France,26,library/archive,provider_name
Ministry of Reconstruction and Urban Planning,France,21,government/administrative body,provider_name
National Customs Museum,France,16,art/history museum,provider_name
In Video Veritas,France,7,other,manual_override
Louvre,France,4,art/history museum,wikidata_description
Orsay Museum,France,3,art/history museum,provider_name
Centre Pompidou - National museum for modern art - Industrial Design Centre,France,1,art/history museum,provider_name
National Centre for Prehistory,France,1,academic/research institution,manual_override
Heritage Malta,France,1,library/archive,wikidata_sparql_fallback
National Monuments Center,France,1,government/administrative body,manual_override
Museum of Fine Arts in Lyon,France,1,art/history museum,provider_name
Palace of Versailles and Trianon,France,1,art/history museum,provider_name
Bavarian State Library,Germany,2176001,library/archive,provider_name
Deutsche Fotothek,Germany,1314229,library/archive,wikidata_description
State Archives of Baden-Württemberg,Germany,827603,library/archive,provider_name
German Documentation Center for Art History - Marburg Picture Index,Germany,320532,library/archive,manual_override
German National Library,Germany,304053,library/archive,provider_name
Berlin-Dahlem Botanical Garden and Botanical Museum,Germany,252957,natural history/science institution,provider_name
Library of the Friedrich Ebert Foundation,Germany,201518,library/archive,provider_name
Museum of City History Leipzig,Germany,182494,art/history museum,provider_name
Berlin State Library,Germany,169601,library/archive,provider_name
Museum of Architecture at Berlin Institute of Technology,Germany,161890,art/history museum,provider_name
Archives of Social Democracy,Germany,133032,library/archive,provider_name
State and University Library Hamburg Carl von Ossietzky,Germany,131101,library/archive,provider_name
Heidelberg University Library,Germany,130773,library/archive,provider_name
Teßmann Library,Germany,115179,library/archive,provider_name
German Archaeological Institute,Germany,104659,academic/research institution,confirmed_fix
"Ethnological Museum, Staatliche Museen zu Berlin",Germany,104638,art/history museum,provider_name
Toy Museum of the City of Nuremberg,Germany,80306,art/history museum,provider_name
Berlin-Brandenburg Economic Archive,Germany,72335,library/archive,provider_name
DFF – German Film Institute & Film Museum,Germany,71678,audiovisual/film archive,provider_name
Karlsruhe Municipal Archives,Germany,71356,library/archive,provider_name
Herzog Anton Ulrich Museum,Germany,70499,art/history museum,provider_name
Epigraphic Database Heidelberg,Germany,69053,art/history museum,provider_name
University & State Library Fulda,Germany,69052,library/archive,provider_name
Herzog August Library,Germany,65635,library/archive,provider_name
Brandenburg Main State Archive,Germany,63700,library/archive,provider_name
International Maritime Museum,Germany,61862,art/history museum,provider_name
Deutsche Welle,Germany,55861,media/broadcast organization,wikidata_description
GESIS - Leibniz Institute for the Social Sciences. Library Cologne,Germany,54945,library/archive,provider_name
Architecture Museum at Technical University of Munich,Germany,50914,art/history museum,provider_name
Herbarium Göttingen (GOET),Germany,40425,natural history/science institution,provider_name
The Photographic Archive of the Zentralinstitut für Kunstgeschichte,Germany,38240,library/archive,provider_name
Frankfurt University Library,Germany,36544,library/archive,provider_name
"Dresden State Art Collections. Museum of Prints, Drawings and Photographs",Germany,33959,art/history museum,provider_name
"Kunstbibliothek, Staatliche Museen zu Berlin",Germany,33713,library/archive,provider_name
Leibniz Institute for Regional Geography,Germany,27945,academic/research institution,wikidata_description
"Bibliotheca Hertziana, Max Planck Institute for Art History Rome. Photographic Collection",Germany,26187,art/history museum,provider_name
University Library Freiburg,Germany,26072,library/archive,provider_name
Media library of Art and Visual History of Humboldt University of Berlin,Germany,25661,library/archive,provider_name
Germanisches National Museum,Germany,24800,art/history museum,provider_name
Badisches Landesmuseum Karlsruhe,Germany,23093,art/history museum,wikidata_description
Sorbian Cultural Archive,Germany,22995,library/archive,provider_name
State Association of Fine Arts Saxony eV,Germany,22822,art/history museum,manual_override
Bauhaus University Weimar. University Library,Germany,21294,library/archive,provider_name
Dresden State Art Collections. Numismatic Collection,Germany,20413,art/history museum,provider_name
Bildarchiv Volkskundliche Kommision für Westfalen,Germany,19792,library/archive,manual_override
State Office for Heritage Management and Archaeology Saxony-Anhalt - State Museum for Prehistory,Germany,19055,art/history museum,provider_name
"Museum for Pre- and Early History, Staatliche Museen zu Berlin",Germany,18830,art/history museum,provider_name
LWL - Museum for Art and Culture - Westphalian State Museum of Art & Cultural History,Germany,18499,art/history museum,provider_name
"Kupferstichkabinett, Staatliche Museen zu Berlin",Germany,17959,art/history museum,provider_name
Prussian Palaces and Gardens Foundation Berlin-Brandenburg,Germany,17895,art/history museum,manual_override
Federal Waterways Engineering and Research Institute,Germany,17892,academic/research institution,provider_name
"Natural History Museum, Berlin",Germany,16336,natural history/science institution,provider_name
Field Museum of Natural History,Germany,15902,natural history/science institution,manual_override
Heinrich-Barth-Institut e.V.,Germany,15320,academic/research institution,manual_override
Kassel University Library,Germany,14409,library/archive,provider_name
Leipzig University Library,Germany,14351,library/archive,provider_name
Kalliope,Germany,14295,library/archive,wikidata_description
Saxon State and University Library Dresden,Germany,14079,library/archive,provider_name
"Museum of European Cultures, Staatliche Museen zu Berlin",Germany,13647,art/history museum,provider_name
Art collections of the Veste Coburg,Germany,13470,art/history museum,provider_name
"Institute of Art History and Archaeology of Europe, Martin Luther University Halle Wittenberg",Germany,12862,art/history museum,provider_name
Berlin-Brandenburg Academy of Sciences and Humanities,Germany,12231,academic/research institution,provider_name
Kunstpalast,Germany,12226,art/history museum,manual_override
Montanhistorisches Dokumentationszentrum,Germany,11804,library/archive,wikidata_sparql_fallback
Dresden State Art Collections. Porcelain collection,Germany,11325,art/history museum,provider_name
"University of Graz, Institute of Plant Sciences - Herbarium GZU",Germany,11219,natural history/science institution,provider_name
Hirschfelde Power Station Foundation,Germany,11139,other,manual_override
Museum of Islamic Art,Germany,11090,art/history museum,provider_name
Goethe University Frankfurt,Germany,10298,academic/research institution,provider_name
Dresden State Art Collections. Sculpture collection,Germany,10109,art/history museum,provider_name
German National Library of Medicine,Germany,9829,library/archive,provider_name
Gotha Research Library,Germany,9721,library/archive,provider_name
"BBAW, Corpus Nummorum",Germany,9691,academic/research institution,manual_override
"Collection of Classical Antiquities, Berlin State Museums",Germany,9598,art/history museum,manual_override
Technoseum,Germany,9361,natural history/science institution,confirmed_fix
Museum of Things,Germany,9340,art/history museum,provider_name
German Exile Archive,Germany,9246,library/archive,provider_name
Baden State Library,Germany,9134,library/archive,provider_name
Leibniz Institute for the German Language - Library,Germany,8504,library/archive,provider_name
Schöneweide Industrial Museum,Germany,8390,art/history museum,provider_name
Art Collection of the University Göttingen,Germany,8292,art/history museum,provider_name
FHXB Friedrichshain-Kreuzberg Museum,Germany,8289,art/history museum,provider_name
Deutsche Kinemathek - Museum für Film und Fernsehen,Germany,8078,audiovisual/film archive,manual_override
"Eberhard Karls Universität Tübingen, UB - Universitätsarchiv",Germany,7550,library/archive,wikidata_sparql_fallback
Stiftung Domäne Dahlem - Estate and Museum,Germany,7008,art/history museum,provider_name
"Museum of Arts and Crafts, Hamburg",Germany,6692,art/history museum,provider_name
Kiel University Library,Germany,6589,library/archive,provider_name
University and State Library Darmstadt,Germany,6522,library/archive,provider_name
TIB - Leibniz Information Centre for Science and Technology and University Library,Germany,6405,library/archive,provider_name
