country,provider,count
Germany,Bavarian State Library,2176001
Germany,Deutsche Fotothek,1314229
Germany,State Archives of Baden-Württemberg,827603
Germany,German Documentation Center for Art History - Marburg Picture Index,320532
Germany,German National Library,304053
Germany,Berlin-Dahlem Botanical Garden and Botanical Museum,252957
Germany,Library of the Friedrich Ebert Foundation,201518
Germany,Museum of City History Leipzig,182494
Germany,Berlin State Library,169601
Germany,Museum of Architecture at Berlin Institute of Technology,161890
Germany,Archives of Social Democracy,133032
Germany,State and University Library Hamburg Carl von Ossietzky,131101
Germany,Heidelberg University Library,130773
Germany,Teßmann Library,115179
Germany,German Archaeological Institute,104659
Germany,"Ethnological Museum, Staatliche Museen zu Berlin",104638
Germany,Toy Museum of the City of Nuremberg,80306
Germany,Berlin-Brandenburg Economic Archive,72335
Germany,DFF – German Film Institute & Film Museum,71678
Germany,Karlsruhe Municipal Archives,71356
Germany,Herzog Anton Ulrich Museum,70499
Germany,Epigraphic Database Heidelberg,69053
Germany,University & State Library Fulda,69052
Germany,Herzog August Library,65635
Germany,Brandenburg Main State Archive,63700
Germany,International Maritime Museum,61862
Germany,Deutsche Welle,55861
Germany,GESIS - Leibniz Institute for the Social Sciences. Library Cologne,54945
Germany,Architecture Museum at Technical University of Munich,50914
Germany,Herbarium Göttingen (GOET),40425
Germany,The Photographic Archive of the Zentralinstitut für Kunstgeschichte,38240
Germany,Frankfurt University Library,36544
Germany,"Dresden State Art Collections. Museum of Prints, Drawings and Photographs",33959
Germany,"Kunstbibliothek, Staatliche Museen zu Berlin",33713
Germany,Württemberg State Library,28540
Germany,Leibniz Institute for Regional Geography,27945
Germany,"Bibliotheca Hertziana, Max Planck Institute for Art History Rome. Photographic Collection",26187
Germany,University Library Freiburg,26072
Germany,Media library of Art and Visual History of Humboldt University of Berlin,25661
Germany,Germanisches National Museum,24800
Germany,Badisches Landesmuseum Karlsruhe,23093
Germany,Sorbian Cultural Archive,22995
Germany,State Association of Fine Arts Saxony eV,22822
Germany,Bauhaus University Weimar. University Library,21294
Germany,Dresden State Art Collections. Numismatic Collection,20413
Germany,Bildarchiv Volkskundliche Kommision für Westfalen,19792
Germany,State Office for Heritage Management and Archaeology Saxony-Anhalt - State Museum for Prehistory,19055
Germany,"Museum for Pre- and Early History, Staatliche Museen zu Berlin",18830
Germany,LWL - Museum for Art and Culture - Westphalian State Museum of Art & Cultural History,18499
Germany,"Kupferstichkabinett, Staatliche Museen zu Berlin",17959
Germany,Prussian Palaces and Gardens Foundation Berlin-Brandenburg,17895
Germany,Federal Waterways Engineering and Research Institute,17892
Germany,"Natural History Museum, Berlin",16336
Germany,Field Museum of Natural History,15902
Germany,Heinrich-Barth-Institut e.V.,15320
Germany,Kassel University Library,14409
Germany,Leipzig University Library,14351
Germany,Kalliope,14295
Germany,Saxon State and University Library Dresden,14079
Germany,"Museum of European Cultures, Staatliche Museen zu Berlin",13647
Germany,Art collections of the Veste Coburg,13470
Germany,"Institute of Art History and Archaeology of Europe, Martin Luther University Halle Wittenberg",12862
Germany,Berlin-Brandenburg Academy of Sciences and Humanities,12231
Germany,Kunstpalast,12226
Germany,Montanhistorisches Dokumentationszentrum,11804
Germany,Dresden State Art Collections. Porcelain collection,11325
Germany,"University of Graz, Institute of Plant Sciences - Herbarium GZU",11219
Germany,Hirschfelde Power Station Foundation,11139
Germany,Museum of Islamic Art,11090
Germany,Goethe University Frankfurt,10298
Germany,Dresden State Art Collections. Sculpture collection,10109
Germany,German National Library of Medicine,9829
