country,provider,count
Italy,Cinecittà - Luce,442536
Italy,Historical Archive of the Presidency of the Republic,212160
Italy,National Central Library of Rome,200231
Italy,Internet Culturale,109101
Italy,"Department of Life Sciences, University of Trieste",101323
Italy,Epigraphic Database Roma,86827
Italy,Cineteca di Bologna,73157
Italy,Central Institute for the Union Catalogue of Italian Libraries,66672
Italy,Central Museum of the Risorgimento in Rome,53211
Italy,Luigi Micheletti Foundation,51704
Italy,Experimental Cinematography Center,40538
Italy,Epigraphic Dabatase Bari,40283
Italy,European Library of Information and Culture,35475
Italy,Marciana National Library,29597
Italy,Turin Gallery for Modern and Contemporary Art,29395
Italy,Braidense National Library,21526
Italy,Library of the S. Pietro a Majella Conservatory,20154
Italy,Rossimoda Shoe Museum,13489
Italy,Provincial Library Magna Capitana,13065
Italy,Estense University Library,12372
Italy,Missoni,12080
Italy,Photographic Archive of the Civic Museums of Turin,11404
Italy,"New Manuscript Library, Veneto Region",11042
Italy,Pitti Immagine,10694
Italy,Galileo Museum,9219
Italy,The Central National Library of Florence,7790
Italy,Digital Library Trentino,7292
Italy,University Library of Genova,7063
Italy,Opera Institute of the Italian Vocabulary,6370
Italy,Museo della Carta di Pescia,5288
Italy,Marucelliana Library,5225
Italy,University Library Of Pisa,5170
Italy,University of Padua,4168
Italy,Madama Palace,3825
Italy,University of Pisa,3821
Italy,University of Padua - Botanical Garden Library,3612
Italy,Modern and Contemporary History Library,3543
Italy,Prato Textile Museum,3535
Italy,Casanatense Library,3448
Italy,Querini Stampalia Foundation,3266
Italy,Palatine Library,3216
Italy,State Archives of Campobasso,2930
Italy,Promoter Digital Gallery,2553
Italy,Pitti Palace - Museum of Costume and Fashion,2499
Italy,Alessandrina University Library,2129
Italy,Museum of Oriental Art,2041
Italy,Brixiana,1886
Italy,Superintendence for Cultural Heritage of the Autonomous Province of Trento,1863
Italy,The Institute of Heritage Sciences,1811
Italy,Biblioteca Sportiva Nazionale,1487
Italy,State Library of the National Monument of Montecassino,1363
Italy,Library of the Cherubini Conservatory of Music,1328
Italy,Library De Gemmis,1238
Italy,University of Bologna,1190
Italy,GoTellGo Cultural Association,1180
Italy,Turin National University Library,1127
Italy,Polytecnic University of Milan - Computer Vision & Reverse Engineering Lab,1041
Italy,Byterfly,1017
Italy,Library of Archeology and History Of Art,966
Italy,Library of Archeology and History of Art,924
Italy,National Library of Potenza,860
Italy,Salvatore Ferragamo Museum,858
Italy,Luigi Sturzo Institute,829
Italy,"Veneto Region, The Music Fund of St. Mary of Consolation in Venice",759
Italy,National Library of the Girolamini Oratory,754
Italy,Pasquale Albino Library,723
Italy,Institute of Musical Studies Luigi Boccherini,703
Italy,Municipality of Macerata,678
Italy,Provincial Library of Brindisi,655
Italy,National Library of Cosenza,587
Italy,Provincial Library Nicola Bernardini,570
Italy,State Library of Lucca,536
Italy,Alinari Foundation for Photography,498
Italy,Rossini Foundation,469
Italy,Augusta Municipal Library,449
Italy,Public Library Pietro Acclavio,436
Italy,"Cultural Hub of the Museums, Libraries and Archives - Bassano del Grappa",402
Italy,Angelo Mai Civic Library and Municipal Historical Archives,401
Italy,National Library of Attilio Hortis,359
Italy,University Library of Pavia,359
Italy,Library Charitas of San Francesco di Paola,328
Italy,AMS Historica Bologna,302
Italy,Franca Rame - Dario Fo Archive,278
Italy,Municipal Library Giovanni Bovio,251
Italy,Luigi Einaudi Foundation Library,240
Italy,The Regional Archives Koper,227
Italy,National Museum of Cinema,210
Italy,Museum of Agricultural Sciences,208
Italy,Roman Philharmonic Academy,204
Italy,Vatican Library,199
Italy,Institute of Information Science and Technologies 'Alessandro Faedo',198
Italy,Luigi Chiarini Library,188
Italy,Archive of the Donizetti Museum,186
Italy,Library of the Institute for the History of Resistance and Contemporary Society,182
Italy,National Library of Bari,173
Italy,International Museum and Library of Music,162
Italy,Library of Astronomical Observatory of Capodimonte,157
Italy,CISA -Interdipartimental Center for Archaeology,148
Italy,Alfonso Rendano Municipal Theater Library,139
Italy,State Library of Cremona,131
Italy,Provincial Library of Potenza,128
Italy,Angelica Library,128
Italy,Padua University Library,104
Italy,Vast-Lab,99
Italy,Lazzerini Library,99
Italy,Cerratelli Foundation,98
Italy,Torino Astrophysical Observatory Library,88
Italy,Library of the Giuseppe Tartini Conservatory of Music,86
Italy,Catania Astrophysical Observatory Library,79
Italy,Vallicelliana Library,72
Italy,University Library of Naples,70
Italy,State Library of the National Monument of the Badia di Cava,66
Italy,Library of the Astronomical Observatory of Rome,62
Italy,Planettiana Library,61
Italy,UNICH - Università G.D'Annunzio Chieti Pescara,51
Italy,Armani/Silos,46
Italy,Isontina State Library of Gorizia,44
Italy,Franco Serantini Library,44
Italy,International Museum of Ceramics,41
Italy,Riccardiana Library,34
Italy,The Film Library of Friuli,32
Italy,National Film Archive for Industrial Film,32
Italy,Municipal Library at the Archiginnasio Palace,27
Italy,Library of the Brera Astronomical Observatory,24
Italy,St. Thomas Aquinas Library,23
Italy,National Archaeology Museum of Abruzzo,22
Italy,Museum Centre of Campania,21
Italy,Municipal Library of the Archiginnasio,21
Italy,Lelio and Lisli Basso Issoco Foundation,20
Italy,Padova Astronomical Observatory Library,20
Italy,Library of the S. Antonio Convent,16
Italy,State Archives of Ancona,13
Italy,Public Library Anton Giulio Barrili,13
Italy,Pasquale Stanislao Mancini Public Library,12
Italy,State Archives of Mantua,12
Italy,State Archives of Bologna,11
Italy,Tenimento San Luigi Cultural Association,11
Italy,Michael Culture Association,10
Italy,Genoa University,10
Italy,INAF Library - astronomic observatory of Palermo,9
Italy,Library of the Convent of Santa Maria Occorrevole - Piedimonte Matese,8
Italy,University of Parma Communication Archive,8
Italy,Parish of Santa María del Pi and Sant Just,8
Italy,National Library of Italian alpine club - Turin,6
Italy,Brera Art Gallery,5
Italy,Amalfi Cultural and Historical Center,5
Italy,Cagliari State Archives,4
Italy,Digibess,3
Italy,Innocenzo XII Library - Lecce,3
Italy,Library of Benedetto Croce Foundation - Naples,2
Italy,Brindisi State Archive,2
Italy,Avellino State Archive,1
Italy,Bari State Archive,1
Italy,IUAV University of Venice,1
Italy,"Superintendence for the Historical, Artistic and Ethno-anthropological Heritage of Liguria",1
Italy,MANN - Museo Archeologico Nazionale di Napoli,1
Italy,Sardinia Region,1
Italy,Biblioteca Estense,1
