country,provider,count
Netherlands,Naturalis Biodiversity Center,4601504
Netherlands,"KB, National Library of the Netherlands",987234
Netherlands,Cultural Heritage Agency of the Netherlands,526228
Netherlands,Rijksmuseum,341407
Netherlands,National Archives of the Netherlands,283470
Netherlands,Internet Archive,176784
Netherlands,International Institute of Social History,165349
Netherlands,The Utrecht Archives,159981
Netherlands,National Museum of Antiquities,141529
Netherlands,Historical Information Center of Brabant,118373
Netherlands,Netherlands Institute for Sound & Vision,98888
Netherlands,Association De Hollandsche Molen,94187
Netherlands,Museon-Omniversum,93077
Netherlands,Municipal Archives of Zaanstad,85508
Netherlands,Gooi en Vechtstreek Archive,79443
Netherlands,Netherlands Institute for Military History,68648
Netherlands,Historic Center Limburg,62704
Netherlands,IMSLP/Petrucci Music Library,61552
Netherlands,City Archives Breda,60870
Netherlands,St. Catherine's Convent Museum,60795
Netherlands,Museum Rotterdam,60777
Netherlands,Paul Van Riel,55165
Netherlands,Batavialand,53928
Netherlands,Historic Center Leeuwarden,53417
Netherlands,"Municipal Archive, Schiedam",52926
Netherlands,Municipal Archives of Weert,52654
Netherlands,KNAW-DANS,48118
Netherlands,Regional Archive Nijmegen,47924
Netherlands,City Archives' s-Hertogenbosch,45614
Netherlands,CODA Museum,44628
Netherlands,CARARE,40920
Netherlands,Municipal Archives of Ede en Scherpenzeel,39824
Netherlands,Zutphen Regional Archive,31206
Netherlands,Regional Archive Langstraat Heusden Altena,27321
Netherlands,Rijksmuseum Boerhaave,27257
Netherlands,Municipal Archives of Tholen,27160
Netherlands,Municipal Archives of Barneveld,27145
Netherlands,Zuiderzee Museum,20552
Netherlands,The Language Archive,18392
Netherlands,National Museum of World Cultures Foundation,17547
Netherlands,Heritage Rijssen-Holten,17221
Netherlands,Digital Library for Dutch Literature,17043
Netherlands,The province of North Holland,13273
Netherlands,International Military Tribunal at Nuremberg,9629
Netherlands,Leiden University Libraries,9087
Netherlands,Amsterdam Museum,8046
Netherlands,Loevestein Castle,7692
Netherlands,City Museum Zutphen,6850
Netherlands,Textile Research Centre Leiden,6737
Netherlands,Regional Archives Tilburg,6569
Netherlands,Geldersch Landschap & Kasteelen,5699
Netherlands,VU University Amsterdam Library,5008
Netherlands,Fries Museum,4736
Netherlands,Valkhof Museum,3553
Netherlands,"The Dutch Olympic Committee, Dutch Sports Federation",2738
Netherlands,National Organ Museum,2707
Netherlands,EYE Film Museum,1595
Netherlands,IHLIA LGBTI Heritage,1558
Netherlands,Castle Huis Bergh,1552
Netherlands,Textile Museum,1513
Netherlands,Heritage Leiden,1314
Netherlands,Anne Frank House,1170
Netherlands,Arnhem museum,1134
Netherlands,De Looierij,1004
Netherlands,Leo Smit foundation,863
Netherlands,Mauritshuis,832
Netherlands,Museum Krona,768
Netherlands,Airborne Museum 'Hartenstein',738
Netherlands,Freedom Museum,547
Netherlands,Historische Kring Huessen,465
Netherlands,Deelen Airbase Museum,399
Netherlands,Museum Klok & Peel,369
Netherlands,Groningen Historic Churches Foundation,315
Netherlands,Archive and Documentation Center for RK Friesland,246
Netherlands,Museum Het Pakhuis,236
Netherlands,Historische Kring Midden-Betuwe,218
Netherlands,Kijk & Luistermuseum,198
Netherlands,Tilburg University,195
Netherlands,Streekmuseum de Roode Tooren,159
Netherlands,Huis van Hilde,139
Netherlands,Water board of Schieland and the Krimpenerwaard,137
Netherlands,Zaans Museum,119
Netherlands,Historical Image Archive for Migrants,112
Netherlands,Museum Nijkerk,108
Netherlands,Rauws Wicker Chair Collection,44
Netherlands,Museumpark Orientalis,40
Netherlands,Museum Tweestromenland,31
Netherlands,Provinciaal Depot Bodemvondsten,29
Netherlands,Museum De Scheper,26
Netherlands,Elisabeth Weeshuis Museum,24
Netherlands,European Fashion Heritage Association,12
Netherlands,Stichting tot Behoud van den Doornenburg,11
Netherlands,Centraal Museum Utrecht,11
Netherlands,Heemkundekring Bergh,6
Netherlands,Historische Vereniging Voorst,4
Netherlands,Kunstmuseum Den Haag,2
Netherlands,City Museum Harderwijk,1
Netherlands,Museum Boijmans Van Beuningen,1
Netherlands,University of Utrecht,1
Netherlands,Bonnefantenmuseum Maastricht,1
Netherlands,Nationaal Onderduikmuseum,1
Netherlands,Nationaal Archief,1
Netherlands,Singer Laren,1
Netherlands,City Museum Prinsenhof,1
