country,provider,count
Spain,Virtual Library of Historical Press,1735320
Spain,National Library of Spain,664410
Spain,Galiciana: Digital Library of Galicia,570387
Spain,Digital Memory of Catalonia,286512
Spain,Archive of Old Catalan Magazines,229974
Spain,Ajuntament de Girona,208078
Spain,Digital Library of Andalusia,145620
Spain,Maresía: Prensa digitalizada y Patrimonio documental,141919
Spain,Canary Islands Historical Photography Archive,121890
Spain,Complutense University of Madrid,121238
Spain,Digital Library of Castilla y León,119704
Spain,Library of the University of Las Palmas,115458
Spain,Cityhall of Murcia. Municipal Archive,104650
Spain,Centro de Estudios de Castilla - La Mancha,94223
Spain,TV3 Catalan Television,89148
Spain,Documentary Repository of the University of Salamanca,86467
Spain,Royal Botanic Garden of Madrid,74638
Spain,Foundation Virtual Library Miguel de Cervantes,70971
Spain,Digital Library of Madrid,69472
Spain,The Government of Catalonia,66231
Spain,National Archaeological Museum,62006
Spain,Cartographic and Geological Institute of Catalonia,60774
Spain,Polytechnic University of Valencia,55663
Spain,Spanish National Research Council,54947
Spain,Image and Sound Archive of Menorca,52640
Spain,Regira. Cooperative Repository of Diputació de Girona,51534
Spain,Postal Cabinet Museum of Barcelona (Marull’s Collection),49300
Spain,Biblioteca Diputación de Almería,47192
Spain,Tomás Navarro Tomás Library,38509
Spain,Museum of Costume. Ethnological Heritage Research Centre,35754
Spain,Patrimonio Digital de Castilla-La Mancha,32589
Spain,Toledo Municipal Archives,32360
Spain,Virtual Library of Bibliographical Heritage,31208
Spain,Autonomous University of Barcelona,29038
Spain,Andalusian Performing Arts Research and Resource Center,28062
Spain,Library of the Bar Association of Madrid,27660
Spain,Library of Asturias,25427
Spain,Repositorio Institucional del Banco de España,23655
Spain,Digital Library Real Academia de la Historia,23616
Spain,Virtual Library of La Rioja,22978
Spain,Image Archive of Castilla La Mancha,21534
Spain,Sorolla Museum,20263
Spain,Polytechnic University of Catalonia,19927
Spain,Valencian Digital Library,19090
Spain,UdG Digital Repository,18684
Spain,Natural Science Museum of Barcelona,18502
Spain,National Museum of Decorative Arts,18154
Spain,Research deposit of the University of Seville,18068
Spain,Jaume I University Repository,17455
Spain,Museum of America,17003
Spain,Ignacio Larramendi Foundation,16095
Spain,Institutional Climatological and Meteorological Archive,15742
Spain,Virtual Library of Aragon,15675
Spain,Museo del Prado digital library,15377
Spain,Biblioteca Virtual de la Real Academia Nacional de Farmacia,14747
Spain,The Digital Network of Museum Collections in Spain,14716
Spain,University of Lleida,14556
Spain,Archive of the Crown of Aragon,13893
Spain,Navarra Digital Library,13479
Spain,City Archive of Arganda del Rey,13459
Spain,National Museum of Roman Art,13278
Spain,Museum of Popular Arts and Customs of Seville,11553
Spain,Lázaro Galdiano Museum,10848
Spain,Library Ciconia,10822
Spain,National Museum of Romanticism,10091
Spain,Virtual Law Library of Aragon,9967
Spain,Eusko Jaurlaritza - Gobierno Vasco,8389
Spain,Collective Catalog of the Library Network of the State Archives,8156
Spain,Jaén Museum,8028
Spain,National Museum of Anthropology,7962
Spain,Archivo de la Diputación Provincial de Cáceres,7784
Spain,Cerralbo Museum,7434
Spain,National Museum of Underwater Archaeology,7087
Spain,Dadun: Digital Academic Repository of the University of Navarra,6942
Spain,Trencadís. The Municipal Library Network of the Diputació de Barcelona,6441
Spain,Sancho el Sabio Foundation,6426
Spain,Frederic Marès Museum,6159
Spain,University Institute for Research in Iberian Archeology,5692
Spain,Repository of the Catholic University of Valencia San Vicente Mártir,5578
Spain,National Theatre Museum,5463
Spain,University of Barcelona. Digital Heritage Library,5356
Spain,"Minerva, Institutional Repository of the University of Santiago de Compostela",5144
Spain,Archivo de la Diputación de Castellón,4892
Spain,"Bitoteko, Hispanic Esperanto Federation Library",4482
Spain,Museo Etnológico de Ribadavia,4344
Spain,Diocesan Seminary of Vitoria-Gasteiz,4221
Spain,Dialnet,4086
Spain,Museum of the Asturian People,3813
Spain,González Martí National Museum of Ceramics and Sumptuary Arts,3748
Spain,National Museum and Research Center of Altamira,3662
Spain,Museum of Teruel,3656
Spain,Museum of Navarra,3378
Spain,University of Oviedo,3268
Spain,Document Repository of the University of Valladolid,3199
Spain,Casa de los Tiros Museum,3185
