provider,country,count,provider_category,classification_source
National Library of France,france,2999310,library/archive,provider_name
Media Library of Architecture and Heritage,france,510877,library/archive,provider_name
Natural History Museum in Paris,france,502160,natural history/science institution,provider_name
Ministry of Culture,france,173279,government/administrative body,provider_name
Historical Monuments: Regional Conservation,france,128192,government/administrative body,confirmed_fix
"Ministry of Culture and Communication, Regional Archaeology Service",france,110142,government/administrative body,confirmed_fix
National Audiovisual Institute France,france,54491,audiovisual/film archive,provider_name
Interuniversity Health Library,france,47992,library/archive,provider_name
Palais Galliera - Musée de la Mode de la Ville de Paris,france,44495,art/history museum,provider_name
Mobilier National Collections,france,24284,art/history museum,manual_override
Center for Research in Ethnomusicology,france,21446,audiovisual/film archive,provider_name
National and University Library of Strasbourg,france,21320,library/archive,provider_name
House Culture Yiddish,france,14330,library/archive,manual_override
Museum of Decorative Arts,france,12967,art/history museum,provider_name
Philharmonie de Paris,france,12091,audiovisual/film archive,provider_name
National Archives of France,france,11709,library/archive,provider_name
Rhône-Alpes Laboratory for Historical Research,france,10046,academic/research institution,provider_name
Library of the Alliance Israélite Universelle,france,6229,library/archive,provider_name
The Paris Observatory Library,france,3085,library/archive,provider_name
Departmental Units of Architecture and Heritage,france,2587,government/administrative body,manual_override
PETRAE - AUSONIUS,france,2571,academic/research institution,manual_override
House for the Social Sciences and Humanities of Dijon,france,2116,academic/research institution,manual_override
Occitan Media Library,france,1962,library/archive,provider_name
National Archeology Museum,france,1333,art/history museum,provider_name
National Conservatory of Arts and Crafts,france,1274,academic/research institution,confirmed_fix
Centre for Research on Sound Space and urban environment,france,910,academic/research institution,provider_name
Models and Simulations for Architecture and Heritage,france,880,academic/research institution,wikidata_description
Bibracte EPCC,france,539,other,manual_override
Babord-Num,france,487,library/archive,manual_override
"Virtual Humanist Libraries, Tours University",france,384,library/archive,provider_name
Media library at Centre National de la Danse,france,266,library/archive,provider_name
Archaeological Society of Bordeaux,france,260,art/history museum,provider_name
Clermont Library,france,231,library/archive,provider_name
Virtual library on the first socialisms,france,177,library/archive,provider_name
Conservatory of the Gironde Estuary,france,159,government/administrative body,confirmed_fix
Pôle de la Mémoire Locale,france,119,other,manual_override
TheFactStories,france,85,other,manual_override
Institute of Computer Science - Foundation for Research and Technology Hellas,france,30,academic/research institution,provider_name
Cinémémoire - Amateur Film Library of Marseille,france,26,library/archive,provider_name
Ministry of Reconstruction and Urban Planning,france,21,government/administrative body,provider_name
National Customs Museum,france,16,art/history museum,provider_name
In Video Veritas,france,7,other,manual_override
Louvre,france,4,art/history museum,wikidata_description
Orsay Museum,france,3,art/history museum,provider_name
Centre Pompidou - National museum for modern art - Industrial Design Centre,france,1,art/history museum,provider_name
Heritage Malta,france,1,library/archive,wikidata_sparql_fallback
Museum of Fine Arts in Lyon,france,1,art/history museum,provider_name
National Centre for Prehistory,france,1,academic/research institution,manual_override
National Monuments Center,france,1,government/administrative body,manual_override
Palace of Versailles and Trianon,france,1,art/history museum,provider_name
Bavarian State Library,germany,2176001,library/archive,provider_name
Deutsche Fotothek,germany,1314229,library/archive,wikidata_description
State Archives of Baden-Württemberg,germany,827603,library/archive,provider_name
German Documentation Center for Art History - Marburg Picture Index,germany,320532,library/archive,manual_override
German National Library,germany,304053,library/archive,provider_name
Berlin-Dahlem Botanical Garden and Botanical Museum,germany,252957,natural history/science institution,provider_name
Library of the Friedrich Ebert Foundation,germany,201518,library/archive,provider_name
Museum of City History Leipzig,germany,182494,art/history museum,provider_name
Berlin State Library,germany,169601,library/archive,provider_name
Museum of Architecture at Berlin Institute of Technology,germany,161890,art/history museum,provider_name
Archives of Social Democracy,germany,133032,library/archive,provider_name
State and University Library Hamburg Carl von Ossietzky,germany,131101,library/archive,provider_name
Heidelberg University Library,germany,130773,library/archive,provider_name
Teßmann Library,germany,115179,library/archive,provider_name
German Archaeological Institute,germany,104659,academic/research institution,confirmed_fix
"Ethnological Museum, Staatliche Museen zu Berlin",germany,104638,art/history museum,provider_name
Toy Museum of the City of Nuremberg,germany,80306,art/history museum,provider_name
Berlin-Brandenburg Economic Archive,germany,72335,library/archive,provider_name
DFF – German Film Institute & Film Museum,germany,71678,audiovisual/film archive,provider_name
Karlsruhe Municipal Archives,germany,71356,library/archive,provider_name
Herzog Anton Ulrich Museum,germany,70499,art/history museum,provider_name
Epigraphic Database Heidelberg,germany,69053,art/history museum,provider_name
University & State Library Fulda,germany,69052,library/archive,provider_name
Herzog August Library,germany,65635,library/archive,provider_name
Brandenburg Main State Archive,germany,63700,library/archive,provider_name
International Maritime Museum,germany,61862,art/history museum,provider_name
Deutsche Welle,germany,55861,media/broadcast organization,wikidata_description
GESIS - Leibniz Institute for the Social Sciences. Library Cologne,germany,54945,library/archive,provider_name
Architecture Museum at Technical University of Munich,germany,50914,art/history museum,provider_name
Herbarium Göttingen (GOET),germany,40425,natural history/science institution,provider_name
The Photographic Archive of the Zentralinstitut für Kunstgeschichte,germany,38240,library/archive,provider_name
Frankfurt University Library,germany,36544,library/archive,provider_name
"Dresden State Art Collections. Museum of Prints, Drawings and Photographs",germany,33959,art/history museum,provider_name
"Kunstbibliothek, Staatliche Museen zu Berlin",germany,33713,library/archive,provider_name
Leibniz Institute for Regional Geography,germany,27945,academic/research institution,wikidata_description
"Bibliotheca Hertziana, Max Planck Institute for Art History Rome. Photographic Collection",germany,26187,art/history museum,provider_name
University Library Freiburg,germany,26072,library/archive,provider_name
Media library of Art and Visual History of Humboldt University of Berlin,germany,25661,library/archive,provider_name
Germanisches National Museum,germany,24800,art/history museum,provider_name
Badisches Landesmuseum Karlsruhe,germany,23093,art/history museum,wikidata_description
Sorbian Cultural Archive,germany,22995,library/archive,provider_name
State Association of Fine Arts Saxony eV,germany,22822,art/history museum,manual_override
Bauhaus University Weimar. University Library,germany,21294,library/archive,provider_name
Dresden State Art Collections. Numismatic Collection,germany,20413,art/history museum,provider_name
Bildarchiv Volkskundliche Kommision für Westfalen,germany,19792,library/archive,manual_override
State Office for Heritage Management and Archaeology Saxony-Anhalt - State Museum for Prehistory,germany,19055,art/history museum,provider_name
"Museum for Pre- and Early History, Staatliche Museen zu Berlin",germany,18830,art/history museum,provider_name
LWL - Museum for Art and Culture - Westphalian State Museum of Art & Cultural History,germany,18499,art/history museum,provider_name
"Kupferstichkabinett, Staatliche Museen zu Berlin",germany,17959,art/history museum,provider_name
Prussian Palaces and Gardens Foundation Berlin-Brandenburg,germany,17895,art/history museum,manual_override
Federal Waterways Engineering and Research Institute,germany,17892,academic/research institution,provider_name
"Natural History Museum, Berlin",germany,16336,natural history/science institution,provider_name
Field Museum of Natural History,germany,15902,natural history/science institution,manual_override
Heinrich-Barth-Institut e.V.,germany,15320,academic/research institution,manual_override
Kassel University Library,germany,14409,library/archive,provider_name
Leipzig University Library,germany,14351,library/archive,provider_name
Kalliope,germany,14295,library/archive,wikidata_description
Saxon State and University Library Dresden,germany,14079,library/archive,provider_name
"Museum of European Cultures, Staatliche Museen zu Berlin",germany,13647,art/history museum,provider_name
Art collections of the Veste Coburg,germany,13470,art/history museum,provider_name
"Institute of Art History and Archaeology of Europe, Martin Luther University Halle Wittenberg",germany,12862,art/history museum,provider_name
Berlin-Brandenburg Academy of Sciences and Humanities,germany,12231,academic/research institution,provider_name
Kunstpalast,germany,12226,art/history museum,manual_override
Montanhistorisches Dokumentationszentrum,germany,11804,library/archive,wikidata_sparql_fallback
Dresden State Art Collections. Porcelain collection,germany,11325,art/history museum,provider_name
"University of Graz, Institute of Plant Sciences - Herbarium GZU",germany,11219,natural history/science institution,provider_name
Hirschfelde Power Station Foundation,germany,11139,other,manual_override
Museum of Islamic Art,germany,11090,art/history museum,provider_name
Goethe University Frankfurt,germany,10298,academic/research institution,provider_name
Dresden State Art Collections. Sculpture collection,germany,10109,art/history museum,provider_name
German National Library of Medicine,germany,9829,library/archive,provider_name
Gotha Research Library,germany,9721,library/archive,provider_name
"BBAW, Corpus Nummorum",germany,9691,academic/research institution,manual_override
"Collection of Classical Antiquities, Berlin State Museums",germany,9598,art/history museum,manual_override
Technoseum,germany,9361,natural history/science institution,confirmed_fix
Museum of Things,germany,9340,art/history museum,provider_name
German Exile Archive,germany,9246,library/archive,provider_name
Baden State Library,germany,9134,library/archive,provider_name
Leibniz Institute for the German Language - Library,germany,8504,library/archive,provider_name
Schöneweide Industrial Museum,germany,8390,art/history museum,provider_name
Art Collection of the University Göttingen,germany,8292,art/history museum,provider_name
FHXB Friedrichshain-Kreuzberg Museum,germany,8289,art/history museum,provider_name
Deutsche Kinemathek - Museum für Film und Fernsehen,germany,8078,audiovisual/film archive,manual_override
"Eberhard Karls Universität Tübingen, UB - Universitätsarchiv",germany,7550,library/archive,wikidata_sparql_fallback
Stiftung Domäne Dahlem - Estate and Museum,germany,7008,art/history museum,provider_name
"Museum of Arts and Crafts, Hamburg",germany,6692,art/history museum,provider_name
Kiel University Library,germany,6589,library/archive,provider_name
University and State Library Darmstadt,germany,6522,library/archive,provider_name
TIB - Leibniz Information Centre for Science and Technology and University Library,germany,6405,library/archive,provider_name
"Deutsches Museum, Archiv",germany,6070,library/archive,provider_name
Bielefeld University Library,germany,6023,library/archive,provider_name
Westphalian Folk Song and Sound Archive,germany,5734,library/archive,provider_name
