wikidata_id,wikidata_label,city,latitude,longitude
Q163255,Botanic Garden and Botanical Museum Berlin,Steglitz-Zehlendorf,52.455,13.3036
Q655507,Deutsche Fotothek,Dresden,51.02781,13.73674
Q821048,Berlin-Brandenburg Economic Archive,Berlin,52.584017166,13.316706473
Q1092493,Cineteca di Bologna,Bologna,44.4988658,11.3368279
Q1954331,Museon-Omniversum,The Hague,52.088777777,4.281
Q1954426,Museum Catharijneconvent,Utrecht,52.087222,5.124167
Q3052794,Calouste Gulbenkian Foundation,Lisbon,38.73722,-9.15417
Q3378907,Philharmonie de Paris,Paris,48.891566,2.39407
Q3639582,Biblioteca Europea di Informazione e Cultura,Milan,45.472601263,9.188542864
Q41328625,Girona City Council,,41.983137861,2.824799589
Q55678136,Braidense National Library of Milan,Milan,45.471947,9.187837
