provider,description_en,category,source,count,manual_category
German Documentation Center for Art History - Marburg Picture Index,,other,unmatched,320532,library/archive
Digital Memory of Catalonia,,other,unmatched,286512,library/archive
Maresía: Prensa digitalizada y Patrimonio documental,,other,unmatched,141919,library/archive
Historical Information Center of Brabant,,other,unmatched,118373,library/archive
Internet Culturale,,other,unmatched,109101,library/archive
Centro de Estudios de Castilla - La Mancha,,other,unmatched,94223,academic/research institution
Association De Hollandsche Molen,,other,unmatched,94187,other
Central Institute for the Union Catalogue of Italian Libraries,,other,name_description_conflict,66672,library/archive
Historic Center Limburg,,other,unmatched,62704,library/archive
Historic Center Leeuwarden,,other,unmatched,53417,library/archive
KNAW-DANS,,other,unmatched,48118,academic/research institution
CARARE,,other,unmatched,40920,academic/research institution
Experimental Cinematography Center,,other,unmatched,40538,audiovisual/film archive
Patrimonio Digital de Castilla-La Mancha,,other,unmatched,32589,library/archive
Mobilier National Collections,,other,unmatched,24284,art/history museum
State Association of Fine Arts Saxony eV,,other,unmatched,22822,art/history museum
Braidense National Library,,other,name_description_conflict,21526,library/archive
Bildarchiv Volkskundliche Kommision für Westfalen,,other,unmatched,19792,library/archive
Prussian Palaces and Gardens Foundation Berlin-Brandenburg,,other,unmatched,17895,art/history museum
Heritage Rijssen-Holten,,other,unmatched,17221,art/history museum
Ignacio Larramendi Foundation,,other,unmatched,16095,academic/research institution
Field Museum of Natural History,,other,name_description_conflict,15902,natural history/science institution
Heinrich-Barth-Institut e.V.,,other,unmatched,15320,academic/research institution
House Culture Yiddish,,other,unmatched,14330,library/archive
Kunstpalast,,other,unmatched,12226,art/history museum
Missoni,,other,unmatched,12080,other
Hirschfelde Power Station Foundation,,other,unmatched,11139,other
Pitti Immagine,,other,unmatched,10694,other
"BBAW, Corpus Nummorum",,other,unmatched,9691,academic/research institution
International Military Tribunal at Nuremberg,,other,unmatched,9629,other
"Collection of Classical Antiquities, Berlin State Museums",,other,unmatched,9598,art/history museum
Deutsche Kinemathek - Museum für Film und Fernsehen,,other,name_description_conflict,8078,audiovisual/film archive
Opera Institute of the Italian Vocabulary,,other,unmatched,6370,academic/research institution
Azores Regional Directorate for Culture,,other,unmatched,5913,government/administrative body
Geldersch Landschap & Kasteelen,,other,unmatched,5699,other
Theatermuseum der Landeshauptstadt Düsseldorf,,other,unmatched,5210,art/history museum
Diocesan Seminary of Vitoria-Gasteiz,,other,unmatched,4221,government/administrative body
Calouste Gulbenkian Foundation,,other,unmatched,3415,art/history museum
Querini Stampalia Foundation,,other,unmatched,3266,art/history museum
"The Dutch Olympic Committee, Dutch Sports Federation",,other,unmatched,2738,other
Departmental Units of Architecture and Heritage,,other,unmatched,2587,government/administrative body
PETRAE - AUSONIUS,,other,unmatched,2571,academic/research institution
House for the Social Sciences and Humanities of Dijon,,other,unmatched,2116,academic/research institution
The Institute of Heritage Sciences,,other,unmatched,1811,natural history/science institution
EYE Film Museum,,other,name_description_conflict,1595,audiovisual/film archive
Fernando Pessoa's House,,other,unmatched,1210,art/history museum
GoTellGo Cultural Association,,other,unmatched,1180,other
Byterfly,,other,unmatched,1017,library/archive
Leo Smit foundation,,other,unmatched,863,academic/research institution
Lisbon's Film & Theatre School,,other,unmatched,774,academic/research institution
Bibracte EPCC,,other,unmatched,539,other
Babord-Num,,other,unmatched,487,library/archive
Rossini Foundation,,other,unmatched,469,academic/research institution
Groningen Historic Churches Foundation,,other,unmatched,315,other
The Commission for Citizenship and Gender Equality,,other,unmatched,311,government/administrative body
AMS Historica Bologna,,other,unmatched,302,academic/research institution
Historische Kring Midden-Betuwe,,other,unmatched,218,art/history museum
National Museum of Cinema,,other,name_description_conflict,210,audiovisual/film archive
Institute of Information Science and Technologies 'Alessandro Faedo',,other,unmatched,198,academic/research institution
Water board of Schieland and the Krimpenerwaard,,other,unmatched,137,government/administrative body
Pôle de la Mémoire Locale,,other,unmatched,119,other
PÉDEXUMBO - Associação para a Promoção da Música e Dança,,other,unmatched,91,other
TheFactStories,,other,unmatched,85,other
The Romanesque Rout,,other,unmatched,50,other
Rauws Wicker Chair Collection,,other,unmatched,44,other
Seminar on the History of Ideas,,other,unmatched,34,other
Provinciaal Depot Bodemvondsten,,other,unmatched,29,other
European Fashion Heritage Association,,other,unmatched,12,other
Stichting tot Behoud van den Doornenburg,,other,unmatched,11,other
In Video Veritas,,other,unmatched,7,other
Heemkundekring Bergh,,other,unmatched,6,other
"Church of S. Roque, Lisbon",,other,unmatched,1,other
Museums and Monuments of Portugal,,other,unmatched,1,art/history museum
National Monuments Center,,other,unmatched,1,government/administrative body
Bonnefantenmuseum Maastricht,,other,unmatched,1,art/history museum
National Centre for Prehistory,,other,unmatched,1,academic/research institution
Sarmento's House,,other,unmatched,1,other
