country,provider,count
France,National Library of France,2999310
France,Media Library of Architecture and Heritage,510877
France,Natural History Museum in Paris,502160
France,Ministry of Culture,173279
France,Historical Monuments: Regional Conservation,128192
France,"Ministry of Culture and Communication, Regional Archaeology Service",110142
France,National Audiovisual Institute France,54491
France,Interuniversity Health Library,47992
France,Palais Galliera - Musée de la Mode de la Ville de Paris,44495
France,Mobilier National Collections,24284
France,Center for Research in Ethnomusicology,21446
France,National and University Library of Strasbourg,21320
France,House Culture Yiddish,14330
France,Museum of Decorative Arts,12967
France,Philharmonie de Paris,12091
France,National Archives of France,11709
France,Rhône-Alpes Laboratory for Historical Research,10046
France,Library of the Alliance Israélite Universelle,6229
France,The Paris Observatory Library,3085
France,Departmental Units of Architecture and Heritage,2587
France,PETRAE - AUSONIUS,2571
France,House for the Social Sciences and Humanities of Dijon,2116
France,Occitan Media Library,1962
France,National Archeology Museum,1333
France,National Conservatory of Arts and Crafts,1274
France,Centre for Research on Sound Space and urban environment,910
France,Models and Simulations for Architecture and Heritage,880
France,Bibracte EPCC,539
France,Babord-Num,487
France,"Virtual Humanist Libraries, Tours University",384
France,Media library at Centre National de la Danse,266
France,Archaeological Society of Bordeaux,260
France,Clermont Library,231
France,Virtual library on the first socialisms,177
France,Conservatory of the Gironde Estuary,159
France,Pôle de la Mémoire Locale,119
France,TheFactStories,85
France,Institute of Computer Science - Foundation for Research and Technology Hellas,30
France,Cinémémoire - Amateur Film Library of Marseille,26
France,Ministry of Reconstruction and Urban Planning,21
France,National Customs Museum,16
France,In Video Veritas,7
France,Louvre,4
France,Orsay Museum,3
France,Centre Pompidou - National museum for modern art - Industrial Design Centre,1
France,Heritage Malta,1
France,Museum of Fine Arts in Lyon,1
France,National Centre for Prehistory,1
France,National Monuments Center,1
France,Palace of Versailles and Trianon,1
