country,provider,count
germany,Bavarian State Library,2176001
germany,Deutsche Fotothek,1314229
germany,State Archives of Baden-Württemberg,827603
germany,German Documentation Center for Art History - Marburg Picture Index,320532
germany,German National Library,304053
germany,Berlin-Dahlem Botanical Garden and Botanical Museum,252957
germany,Library of the Friedrich Ebert Foundation,201518
germany,Museum of City History Leipzig,182494
germany,Berlin State Library,169601
germany,Museum of Architecture at Berlin Institute of Technology,161890
germany,Archives of Social Democracy,133032
germany,State and University Library Hamburg Carl von Ossietzky,131101
germany,Heidelberg University Library,130773
germany,Teßmann Library,115179
germany,German Archaeological Institute,104659
germany,"Ethnological Museum, Staatliche Museen zu Berlin",104638
germany,Toy Museum of the City of Nuremberg,80306
germany,Berlin-Brandenburg Economic Archive,72335
germany,DFF – German Film Institute & Film Museum,71678
germany,Karlsruhe Municipal Archives,71356
germany,Herzog Anton Ulrich Museum,70499
germany,Epigraphic Database Heidelberg,69053
germany,University & State Library Fulda,69052
germany,Herzog August Library,65635
germany,Brandenburg Main State Archive,63700
germany,International Maritime Museum,61862
germany,Deutsche Welle,55861
germany,GESIS - Leibniz Institute for the Social Sciences. Library Cologne,54945
germany,Architecture Museum at Technical University of Munich,50914
germany,Herbarium Göttingen (GOET),40425
germany,The Photographic Archive of the Zentralinstitut für Kunstgeschichte,38240
germany,Frankfurt University Library,36544
germany,"Dresden State Art Collections. Museum of Prints, Drawings and Photographs",33959
germany,"Kunstbibliothek, Staatliche Museen zu Berlin",33713
germany,Leibniz Institute for Regional Geography,27945
germany,"Bibliotheca Hertziana, Max Planck Institute for Art History Rome. Photographic Collection",26187
germany,University Library Freiburg,26072
germany,Media library of Art and Visual History of Humboldt University of Berlin,25661
germany,Germanisches National Museum,24800
germany,Badisches Landesmuseum Karlsruhe,23093
germany,Sorbian Cultural Archive,22995
germany,State Association of Fine Arts Saxony eV,22822
germany,Bauhaus University Weimar. University Library,21294
germany,Dresden State Art Collections. Numismatic Collection,20413
germany,Bildarchiv Volkskundliche Kommision für Westfalen,19792
germany,State Office for Heritage Management and Archaeology Saxony-Anhalt - State Museum for Prehistory,19055
germany,"Museum for Pre- and Early History, Staatliche Museen zu Berlin",18830
germany,LWL - Museum for Art and Culture - Westphalian State Museum of Art & Cultural History,18499
germany,"Kupferstichkabinett, Staatliche Museen zu Berlin",17959
germany,Prussian Palaces and Gardens Foundation Berlin-Brandenburg,17895
germany,Federal Waterways Engineering and Research Institute,17892
germany,"Natural History Museum, Berlin",16336
germany,Field Museum of Natural History,15902
germany,Heinrich-Barth-Institut e.V.,15320
germany,Kassel University Library,14409
germany,Leipzig University Library,14351
germany,Kalliope,14295
germany,Saxon State and University Library Dresden,14079
germany,"Museum of European Cultures, Staatliche Museen zu Berlin",13647
germany,Art collections of the Veste Coburg,13470
germany,"Institute of Art History and Archaeology of Europe, Martin Luther University Halle Wittenberg",12862
germany,Berlin-Brandenburg Academy of Sciences and Humanities,12231
germany,Kunstpalast,12226
germany,Montanhistorisches Dokumentationszentrum,11804
germany,Dresden State Art Collections. Porcelain collection,11325
germany,"University of Graz, Institute of Plant Sciences - Herbarium GZU",11219
germany,Hirschfelde Power Station Foundation,11139
germany,Museum of Islamic Art,11090
germany,Goethe University Frankfurt,10298
germany,Dresden State Art Collections. Sculpture collection,10109
germany,German National Library of Medicine,9829
germany,Gotha Research Library,9721
germany,"BBAW, Corpus Nummorum",9691
germany,"Collection of Classical Antiquities, Berlin State Museums",9598
germany,Technoseum,9361
germany,Museum of Things,9340
