country,provider,count
italy,Cinecittà - Luce,442536
italy,Historical Archive of the Presidency of the Republic,212160
italy,National Central Library of Rome,200231
italy,Internet Culturale,109101
italy,"Department of Life Sciences, University of Trieste",101323
italy,Epigraphic Database Roma,86827
italy,Cineteca di Bologna,73157
italy,Central Institute for the Union Catalogue of Italian Libraries,66672
italy,Central Museum of the Risorgimento in Rome,53211
italy,Luigi Micheletti Foundation,51704
italy,Experimental Cinematography Center,40538
italy,Epigraphic Dabatase Bari,40283
italy,European Library of Information and Culture,35475
italy,Marciana National Library,29597
italy,Turin Gallery for Modern and Contemporary Art,29395
italy,Braidense National Library,21526
italy,Library of the S. Pietro a Majella Conservatory,20154
italy,Rossimoda Shoe Museum,13489
italy,Provincial Library Magna Capitana,13065
italy,Estense University Library,12372
italy,Missoni,12080
italy,Photographic Archive of the Civic Museums of Turin,11404
italy,"New Manuscript Library, Veneto Region",11042
italy,Pitti Immagine,10694
italy,Galileo Museum,9219
italy,The Central National Library of Florence,7790
italy,Digital Library Trentino,7292
italy,University Library of Genova,7063
italy,Opera Institute of the Italian Vocabulary,6370
italy,Museo della Carta di Pescia,5288
italy,Marucelliana Library,5225
italy,University Library Of Pisa,5170
italy,University of Padua,4168
italy,Madama Palace,3825
italy,University of Pisa,3821
italy,University of Padua - Botanical Garden Library,3612
italy,Modern and Contemporary History Library,3543
italy,Prato Textile Museum,3535
italy,Casanatense Library,3448
italy,Querini Stampalia Foundation,3266
italy,Palatine Library,3216
italy,State Archives of Campobasso,2930
italy,Promoter Digital Gallery,2553
italy,Pitti Palace - Museum of Costume and Fashion,2499
italy,Alessandrina University Library,2129
italy,Museum of Oriental Art,2041
italy,Brixiana,1886
italy,Superintendence for Cultural Heritage of the Autonomous Province of Trento,1863
italy,The Institute of Heritage Sciences,1811
italy,Biblioteca Sportiva Nazionale,1487
italy,State Library of the National Monument of Montecassino,1363
italy,Library of the Cherubini Conservatory of Music,1328
italy,Library De Gemmis,1238
italy,University of Bologna,1190
italy,GoTellGo Cultural Association,1180
italy,Turin National University Library,1127
italy,Polytecnic University of Milan - Computer Vision & Reverse Engineering Lab,1041
italy,Byterfly,1017
italy,Library of Archeology and History Of Art,966
italy,Library of Archeology and History of Art,924
italy,National Library of Potenza,860
italy,Salvatore Ferragamo Museum,858
italy,Luigi Sturzo Institute,829
italy,"Veneto Region, The Music Fund of St. Mary of Consolation in Venice",759
italy,National Library of the Girolamini Oratory,754
italy,Pasquale Albino Library,723
italy,Institute of Musical Studies Luigi Boccherini,703
italy,Municipality of Macerata,678
italy,Provincial Library of Brindisi,655
italy,National Library of Cosenza,587
italy,Provincial Library Nicola Bernardini,570
italy,State Library of Lucca,536
italy,Alinari Foundation for Photography,498
italy,Rossini Foundation,469
italy,Augusta Municipal Library,449
italy,Public Library Pietro Acclavio,436
italy,"Cultural Hub of the Museums, Libraries and Archives - Bassano del Grappa",402
italy,Angelo Mai Civic Library and Municipal Historical Archives,401
italy,National Library of Attilio Hortis,359
italy,University Library of Pavia,359
italy,Library Charitas of San Francesco di Paola,328
italy,AMS Historica Bologna,302
italy,Franca Rame - Dario Fo Archive,278
italy,Municipal Library Giovanni Bovio,251
italy,Luigi Einaudi Foundation Library,240
italy,The Regional Archives Koper,227
italy,National Museum of Cinema,210
italy,Museum of Agricultural Sciences,208
italy,Roman Philharmonic Academy,204
italy,Vatican Library,199
italy,Institute of Information Science and Technologies 'Alessandro Faedo',198
italy,Luigi Chiarini Library,188
italy,Archive of the Donizetti Museum,186
italy,Library of the Institute for the History of Resistance and Contemporary Society,182
italy,National Library of Bari,173
italy,International Museum and Library of Music,162
italy,Library of Astronomical Observatory of Capodimonte,157
italy,CISA -Interdipartimental Center for Archaeology,148
italy,Alfonso Rendano Municipal Theater Library,139
italy,State Library of Cremona,131
italy,Angelica Library,128
italy,Provincial Library of Potenza,128
italy,Padua University Library,104
italy,Lazzerini Library,99
italy,Vast-Lab,99
italy,Cerratelli Foundation,98
italy,Torino Astrophysical Observatory Library,88
italy,Library of the Giuseppe Tartini Conservatory of Music,86
italy,Catania Astrophysical Observatory Library,79
italy,Vallicelliana Library,72
italy,University Library of Naples,70
italy,State Library of the National Monument of the Badia di Cava,66
italy,Library of the Astronomical Observatory of Rome,62
italy,Planettiana Library,61
italy,UNICH - Università G.D'Annunzio Chieti Pescara,51
italy,Armani/Silos,46
italy,Franco Serantini Library,44
italy,Isontina State Library of Gorizia,44
italy,International Museum of Ceramics,41
italy,Riccardiana Library,34
italy,National Film Archive for Industrial Film,32
italy,The Film Library of Friuli,32
italy,Municipal Library at the Archiginnasio Palace,27
italy,Library of the Brera Astronomical Observatory,24
italy,St. Thomas Aquinas Library,23
italy,National Archaeology Museum of Abruzzo,22
italy,Municipal Library of the Archiginnasio,21
italy,Museum Centre of Campania,21
italy,Lelio and Lisli Basso Issoco Foundation,20
italy,Padova Astronomical Observatory Library,20
italy,Library of the S. Antonio Convent,16
italy,Public Library Anton Giulio Barrili,13
italy,State Archives of Ancona,13
italy,Pasquale Stanislao Mancini Public Library,12
italy,State Archives of Mantua,12
italy,State Archives of Bologna,11
italy,Tenimento San Luigi Cultural Association,11
italy,Genoa University,10
italy,Michael Culture Association,10
italy,INAF Library - astronomic observatory of Palermo,9
italy,Library of the Convent of Santa Maria Occorrevole - Piedimonte Matese,8
italy,Parish of Santa María del Pi and Sant Just,8
italy,University of Parma Communication Archive,8
italy,National Library of Italian alpine club - Turin,6
italy,Amalfi Cultural and Historical Center,5
italy,Brera Art Gallery,5
italy,Cagliari State Archives,4
italy,Digibess,3
italy,Innocenzo XII Library - Lecce,3
italy,Brindisi State Archive,2
italy,Library of Benedetto Croce Foundation - Naples,2
italy,Avellino State Archive,1
italy,Bari State Archive,1
italy,Biblioteca Estense,1
italy,IUAV University of Venice,1
italy,MANN - Museo Archeologico Nazionale di Napoli,1
italy,Sardinia Region,1
italy,"Superintendence for the Historical, Artistic and Ethno-anthropological Heritage of Liguria",1
