country,provider,count
netherlands,Naturalis Biodiversity Center,4601504
netherlands,"KB, National Library of the Netherlands",987234
netherlands,Cultural Heritage Agency of the Netherlands,526228
netherlands,Rijksmuseum,341407
netherlands,National Archives of the Netherlands,283470
netherlands,Internet Archive,176784
netherlands,International Institute of Social History,165349
netherlands,The Utrecht Archives,159981
netherlands,National Museum of Antiquities,141529
netherlands,Historical Information Center of Brabant,118373
netherlands,Netherlands Institute for Sound & Vision,98888
netherlands,Association De Hollandsche Molen,94187
netherlands,Museon-Omniversum,93077
netherlands,Municipal Archives of Zaanstad,85508
netherlands,Gooi en Vechtstreek Archive,79443
netherlands,Netherlands Institute for Military History,68648
netherlands,Historic Center Limburg,62704
netherlands,IMSLP/Petrucci Music Library,61552
netherlands,City Archives Breda,60870
netherlands,St. Catherine's Convent Museum,60795
netherlands,Museum Rotterdam,60777
netherlands,Paul Van Riel,55165
netherlands,Batavialand,53928
netherlands,Historic Center Leeuwarden,53417
netherlands,"Municipal Archive, Schiedam",52926
netherlands,Municipal Archives of Weert,52654
netherlands,KNAW-DANS,48118
netherlands,Regional Archive Nijmegen,47924
netherlands,City Archives' s-Hertogenbosch,45614
netherlands,CODA Museum,44628
netherlands,CARARE,40920
netherlands,Municipal Archives of Ede en Scherpenzeel,39824
netherlands,Zutphen Regional Archive,31206
netherlands,Regional Archive Langstraat Heusden Altena,27321
netherlands,Rijksmuseum Boerhaave,27257
netherlands,Municipal Archives of Tholen,27160
netherlands,Municipal Archives of Barneveld,27145
netherlands,Zuiderzee Museum,20552
netherlands,The Language Archive,18392
netherlands,National Museum of World Cultures Foundation,17547
netherlands,Heritage Rijssen-Holten,17221
netherlands,Digital Library for Dutch Literature,17043
netherlands,The province of North Holland,13273
netherlands,International Military Tribunal at Nuremberg,9629
netherlands,Leiden University Libraries,9087
netherlands,Amsterdam Museum,8046
netherlands,Loevestein Castle,7692
netherlands,City Museum Zutphen,6850
netherlands,Textile Research Centre Leiden,6737
netherlands,Regional Archives Tilburg,6569
netherlands,Geldersch Landschap & Kasteelen,5699
netherlands,VU University Amsterdam Library,5008
netherlands,Fries Museum,4736
netherlands,Valkhof Museum,3553
netherlands,"The Dutch Olympic Committee, Dutch Sports Federation",2738
netherlands,National Organ Museum,2707
netherlands,EYE Film Museum,1595
netherlands,IHLIA LGBTI Heritage,1558
netherlands,Castle Huis Bergh,1552
netherlands,Textile Museum,1513
netherlands,Heritage Leiden,1314
netherlands,Anne Frank House,1170
netherlands,Arnhem museum,1134
netherlands,De Looierij,1004
netherlands,Leo Smit foundation,863
netherlands,Mauritshuis,832
netherlands,Museum Krona,768
netherlands,Airborne Museum 'Hartenstein',738
netherlands,Freedom Museum,547
netherlands,Historische Kring Huessen,465
netherlands,Deelen Airbase Museum,399
netherlands,Museum Klok & Peel,369
netherlands,Groningen Historic Churches Foundation,315
netherlands,Archive and Documentation Center for RK Friesland,246
netherlands,Museum Het Pakhuis,236
netherlands,Historische Kring Midden-Betuwe,218
netherlands,Kijk & Luistermuseum,198
netherlands,Tilburg University,195
netherlands,Streekmuseum de Roode Tooren,159
netherlands,Huis van Hilde,139
netherlands,Water board of Schieland and the Krimpenerwaard,137
netherlands,Zaans Museum,119
netherlands,Historical Image Archive for Migrants,112
netherlands,Museum Nijkerk,108
netherlands,Rauws Wicker Chair Collection,44
netherlands,Museumpark Orientalis,40
netherlands,Museum Tweestromenland,31
netherlands,Provinciaal Depot Bodemvondsten,29
netherlands,Museum De Scheper,26
netherlands,Elisabeth Weeshuis Museum,24
netherlands,European Fashion Heritage Association,12
netherlands,Centraal Museum Utrecht,11
netherlands,Stichting tot Behoud van den Doornenburg,11
netherlands,Heemkundekring Bergh,6
netherlands,Historische Vereniging Voorst,4
netherlands,Kunstmuseum Den Haag,2
netherlands,Bonnefantenmuseum Maastricht,1
netherlands,City Museum Harderwijk,1
netherlands,City Museum Prinsenhof,1
netherlands,Museum Boijmans Van Beuningen,1
netherlands,Nationaal Archief,1
netherlands,Nationaal Onderduikmuseum,1
netherlands,Singer Laren,1
netherlands,University of Utrecht,1
