country,provider,count
portugal,Institute for Tropical Scientific Research,65666
portugal,National Library of Portugal,35785
portugal,Portuguese Army Library,13120
portugal,Azores Regional Directorate for Culture,5913
portugal,University of Porto,5111
portugal,Calouste Gulbenkian Foundation,3415
portugal,MUDE – Museu do Design,1927
portugal,Assembly of the Republic - Library,1663
portugal,Fernando Pessoa's House,1210
portugal,University of Coimbra,1155
portugal,Lisbon's Film & Theatre School,774
portugal,Madeira Archives and Library,685
portugal,Cinemateca Portuguesa - Museu do cinema,654
portugal,Radio and Television of Portugal,504
portugal,Madeira Arts Library,470
portugal,Lisbon Newspaper Library,468
portugal,April 25th Documentation Center of Coimbra University,337
portugal,The Commission for Citizenship and Gender Equality,311
portugal,Division of Archives and Library of the Ministry of Foreign Affairs,158
portugal,Portuguese Court of Auditors,119
portugal,PÉDEXUMBO - Associação para a Promoção da Música e Dança,91
portugal,Library of the National Republican Guard,70
portugal,Douro Museum,51
portugal,The Romanesque Rout,50
portugal,Municipal Public Library of Porto,47
portugal,Open University - Portugal,35
portugal,Seminar on the History of Ideas,34
portugal,Assembleia da República - Arquivo Histórico Parlamentar,15
portugal,Supreme Court of Justice,6
portugal,Montalegre Municipal Library,2
portugal,"National Archives Torre do Tombo, Lisbon",2
portugal,National Museum of Ancient Art,2
portugal,"Ajuda Library, Lisbon",1
portugal,Chiado Museum - National Museum of Contemporary Art,1
portugal,"Church of S. Roque, Lisbon",1
portugal,"Municipal Library Anselmo Braamcamp Freire, Santarém",1
portugal,Museums and Monuments of Portugal,1
portugal,National Coach Museum,1
portugal,"National Museum of Grao Vasco, Viseu",1
portugal,Sarmento's House,1
