provider,provider_category,classification_source
Cinecittà - Luce,audiovisual/film archive,provider_name
Historical Archive of the Presidency of the Republic,library/archive,provider_name
National Central Library of Rome,library/archive,provider_name
Internet Culturale,other,unmatched
"Department of Life Sciences, University of Trieste",academic/research institution,provider_name
Epigraphic Database Roma,art/history museum,provider_name
Cineteca di Bologna,audiovisual/film archive,wikidata_description
Central Institute for the Union Catalogue of Italian Libraries,other,name_description_conflict
Central Museum of the Risorgimento in Rome,art/history museum,provider_name
Luigi Micheletti Foundation,library/archive,wikidata_description
Experimental Cinematography Center,other,unmatched
Epigraphic Dabatase Bari,art/history museum,provider_name
European Library of Information and Culture,library/archive,provider_name
Marciana National Library,library/archive,provider_name
Turin Gallery for Modern and Contemporary Art,art/history museum,provider_name
Braidense National Library,other,name_description_conflict
Library of the S. Pietro a Majella Conservatory,audiovisual/film archive,provider_name
Rossimoda Shoe Museum,art/history museum,provider_name
Provincial Library Magna Capitana,library/archive,provider_name
Estense University Library,library/archive,provider_name
Missoni,other,unmatched
Photographic Archive of the Civic Museums of Turin,library/archive,provider_name
"New Manuscript Library, Veneto Region",library/archive,provider_name
Pitti Immagine,other,unmatched
Galileo Museum,art/history museum,provider_name
The Central National Library of Florence,library/archive,provider_name
Digital Library Trentino,library/archive,provider_name
University Library of Genova,library/archive,provider_name
Opera Institute of the Italian Vocabulary,other,unmatched
Museo della Carta di Pescia,art/history museum,provider_name
Marucelliana Library,library/archive,provider_name
University Library Of Pisa,library/archive,provider_name
University of Padua,academic/research institution,provider_name
Madama Palace,art/history museum,provider_name
University of Pisa,academic/research institution,provider_name
University of Padua - Botanical Garden Library,library/archive,provider_name
Modern and Contemporary History Library,library/archive,provider_name
Prato Textile Museum,art/history museum,provider_name
Casanatense Library,library/archive,provider_name
Querini Stampalia Foundation,other,unmatched
Palatine Library,library/archive,provider_name
State Archives of Campobasso,library/archive,provider_name
Promoter Digital Gallery,art/history museum,provider_name
Pitti Palace - Museum of Costume and Fashion,art/history museum,provider_name
Alessandrina University Library,library/archive,provider_name
Museum of Oriental Art,art/history museum,provider_name
Brixiana,government/administrative body,wikidata_description
Superintendence for Cultural Heritage of the Autonomous Province of Trento,government/administrative body,provider_name
The Institute of Heritage Sciences,other,unmatched
Biblioteca Sportiva Nazionale,library/archive,provider_name
State Library of the National Monument of Montecassino,library/archive,provider_name
Library of the Cherubini Conservatory of Music,audiovisual/film archive,provider_name
Library De Gemmis,library/archive,provider_name
University of Bologna,academic/research institution,provider_name
GoTellGo Cultural Association,other,unmatched
Turin National University Library,library/archive,provider_name
Polytecnic University of Milan - Computer Vision & Reverse Engineering Lab,academic/research institution,provider_name
Byterfly,other,unmatched
Library of Archeology and History Of Art,library/archive,provider_name
Library of Archeology and History of Art,library/archive,provider_name
National Library of Potenza,library/archive,provider_name
Salvatore Ferragamo Museum,art/history museum,provider_name
Luigi Sturzo Institute,library/archive,wikidata_sparql_fallback
"Veneto Region, The Music Fund of St. Mary of Consolation in Venice",audiovisual/film archive,provider_name
National Library of the Girolamini Oratory,library/archive,provider_name
Pasquale Albino Library,library/archive,provider_name
Institute of Musical Studies Luigi Boccherini,audiovisual/film archive,provider_name
Municipality of Macerata,government/administrative body,provider_name
Provincial Library of Brindisi,library/archive,provider_name
National Library of Cosenza,library/archive,provider_name
Provincial Library Nicola Bernardini,library/archive,provider_name
State Library of Lucca,library/archive,provider_name
Alinari Foundation for Photography,art/history museum,provider_name
Rossini Foundation,other,unmatched
Augusta Municipal Library,library/archive,provider_name
Public Library Pietro Acclavio,library/archive,provider_name
"Cultural Hub of the Museums, Libraries and Archives - Bassano del Grappa",library/archive,provider_name
Angelo Mai Civic Library and Municipal Historical Archives,library/archive,provider_name
University Library of Pavia,library/archive,provider_name
National Library of Attilio Hortis,library/archive,provider_name
Library Charitas of San Francesco di Paola,library/archive,provider_name
AMS Historica Bologna,other,unmatched
Franca Rame - Dario Fo Archive,library/archive,provider_name
Municipal Library Giovanni Bovio,library/archive,provider_name
Luigi Einaudi Foundation Library,library/archive,provider_name
The Regional Archives Koper,library/archive,provider_name
National Museum of Cinema,other,name_description_conflict
Museum of Agricultural Sciences,art/history museum,provider_name
Roman Philharmonic Academy,audiovisual/film archive,provider_name
Vatican Library,library/archive,provider_name
Institute of Information Science and Technologies 'Alessandro Faedo',other,unmatched
Luigi Chiarini Library,library/archive,provider_name
Archive of the Donizetti Museum,library/archive,provider_name
Library of the Institute for the History of Resistance and Contemporary Society,library/archive,provider_name
National Library of Bari,library/archive,provider_name
International Museum and Library of Music,audiovisual/film archive,provider_name
Library of Astronomical Observatory of Capodimonte,library/archive,provider_name
CISA -Interdipartimental Center for Archaeology,art/history museum,provider_name
Alfonso Rendano Municipal Theater Library,library/archive,provider_name
State Library of Cremona,library/archive,provider_name
National Library of France,library/archive,provider_name
Media Library of Architecture and Heritage,library/archive,provider_name
Natural History Museum in Paris,natural history/science institution,provider_name
Ministry of Culture,government/administrative body,provider_name
Historical Monuments: Regional Conservation,art/history museum,provider_name
"Ministry of Culture and Communication, Regional Archaeology Service",art/history museum,provider_name
National Audiovisual Institute France,audiovisual/film archive,provider_name
Interuniversity Health Library,library/archive,provider_name
