country,provider,count
france,National Library of France,2999310
france,Media Library of Architecture and Heritage,510877
france,Natural History Museum in Paris,502160
france,Ministry of Culture,173279
france,Historical Monuments: Regional Conservation,128192
france,"Ministry of Culture and Communication, Regional Archaeology Service",110142
france,National Audiovisual Institute France,54491
france,Interuniversity Health Library,47992
france,Palais Galliera - Musée de la Mode de la Ville de Paris,44495
france,Mobilier National Collections,24284
france,Center for Research in Ethnomusicology,21446
france,National and University Library of Strasbourg,21320
france,House Culture Yiddish,14330
france,Museum of Decorative Arts,12967
france,Philharmonie de Paris,12091
france,National Archives of France,11709
france,Rhône-Alpes Laboratory for Historical Research,10046
france,Library of the Alliance Israélite Universelle,6229
france,The Paris Observatory Library,3085
france,Departmental Units of Architecture and Heritage,2587
france,PETRAE - AUSONIUS,2571
france,House for the Social Sciences and Humanities of Dijon,2116
france,Occitan Media Library,1962
france,National Archeology Museum,1333
france,National Conservatory of Arts and Crafts,1274
france,Centre for Research on Sound Space and urban environment,910
france,Models and Simulations for Architecture and Heritage,880
france,Bibracte EPCC,539
france,Babord-Num,487
france,"Virtual Humanist Libraries, Tours University",384
france,Media library at Centre National de la Danse,266
france,Archaeological Society of Bordeaux,260
france,Clermont Library,231
france,Virtual library on the first socialisms,177
france,Conservatory of the Gironde Estuary,159
france,Pôle de la Mémoire Locale,119
france,TheFactStories,85
france,Institute of Computer Science - Foundation for Research and Technology Hellas,30
france,Cinémémoire - Amateur Film Library of Marseille,26
france,Ministry of Reconstruction and Urban Planning,21
france,National Customs Museum,16
france,In Video Veritas,7
france,Louvre,4
france,Orsay Museum,3
france,Centre Pompidou - National museum for modern art - Industrial Design Centre,1
france,Heritage Malta,1
france,Museum of Fine Arts in Lyon,1
france,National Centre for Prehistory,1
france,National Monuments Center,1
france,Palace of Versailles and Trianon,1
