country,provider,count
spain,Virtual Library of Historical Press,1735320
spain,National Library of Spain,664410
spain,Galiciana: Digital Library of Galicia,336061
spain,Digital Memory of Catalonia,286512
spain,Galiciana. Arquivo Dixital de Galicia,234326
spain,Archive of Old Catalan Magazines,229974
spain,Ajuntament de Girona,208078
spain,Digital Library of Andalusia,145620
spain,Maresía: Prensa digitalizada y Patrimonio documental,141919
spain,Canary Islands Historical Photography Archive,121890
spain,Complutense University of Madrid,121238
spain,Digital Library of Castilla y León,119704
spain,Library of the University of Las Palmas,115458
spain,Cityhall of Murcia. Municipal Archive,104650
spain,Centro de Estudios de Castilla - La Mancha,94223
spain,TV3 Catalan Television,89148
spain,Documentary Repository of the University of Salamanca,86467
spain,Royal Botanic Garden of Madrid,74638
spain,Foundation Virtual Library Miguel de Cervantes,70971
spain,Digital Library of Madrid,69472
spain,The Government of Catalonia,66231
spain,National Archaeological Museum,62006
spain,Cartographic and Geological Institute of Catalonia,60774
spain,Polytechnic University of Valencia,55663
spain,Spanish National Research Council,54947
spain,Image and Sound Archive of Menorca,52640
spain,Regira. Cooperative Repository of Diputació de Girona,51534
spain,Postal Cabinet Museum of Barcelona (Marull’s Collection),49300
spain,Biblioteca Diputación de Almería,47192
spain,Tomás Navarro Tomás Library,38509
spain,Museum of Costume. Ethnological Heritage Research Centre,35754
spain,Patrimonio Digital de Castilla-La Mancha,32589
spain,Toledo Municipal Archives,32360
spain,Virtual Library of Bibliographical Heritage,31208
spain,Autonomous University of Barcelona,29038
spain,Andalusian Performing Arts Research and Resource Center,28062
spain,Library of the Bar Association of Madrid,27660
spain,Library of Asturias,25427
spain,Repositorio Institucional del Banco de España,23655
spain,Digital Library Real Academia de la Historia,23616
spain,Virtual Library of La Rioja,22978
spain,Image Archive of Castilla La Mancha,21534
spain,Sorolla Museum,20263
spain,Polytechnic University of Catalonia,19927
spain,Valencian Digital Library,19090
spain,UdG Digital Repository,18684
spain,Natural Science Museum of Barcelona,18502
spain,National Museum of Decorative Arts,18154
spain,Research deposit of the University of Seville,18068
spain,Jaume I University Repository,17455
spain,Museum of America,17003
spain,Ignacio Larramendi Foundation,16095
spain,Institutional Climatological and Meteorological Archive,15742
spain,Virtual Library of Aragon,15675
spain,Museo del Prado digital library,15377
spain,Biblioteca Virtual de la Real Academia Nacional de Farmacia,14747
spain,The Digital Network of Museum Collections in Spain,14716
spain,University of Lleida,14556
spain,Archive of the Crown of Aragon,13893
spain,Navarra Digital Library,13479
spain,City Archive of Arganda del Rey,13459
spain,National Museum of Roman Art,13278
spain,Museum of Popular Arts and Customs of Seville,11553
spain,Lázaro Galdiano Museum,10848
spain,Library Ciconia,10822
spain,National Museum of Romanticism,10091
spain,Virtual Law Library of Aragon,9967
spain,Eusko Jaurlaritza - Gobierno Vasco,8389
spain,Collective Catalog of the Library Network of the State Archives,8156
spain,Jaén Museum,8028
spain,National Museum of Anthropology,7962
spain,Archivo de la Diputación Provincial de Cáceres,7784
spain,Cerralbo Museum,7434
spain,National Museum of Underwater Archaeology,7087
spain,Dadun: Digital Academic Repository of the University of Navarra,6942
spain,Trencadís. The Municipal Library Network of the Diputació de Barcelona,6441
spain,Sancho el Sabio Foundation,6426
spain,Frederic Marès Museum,6159
spain,University Institute for Research in Iberian Archeology,5692
spain,Repository of the Catholic University of Valencia San Vicente Mártir,5578
spain,National Theatre Museum,5463
spain,University of Barcelona. Digital Heritage Library,5356
spain,"Minerva, Institutional Repository of the University of Santiago de Compostela",5144
spain,Archivo de la Diputación de Castellón,4892
spain,"Bitoteko, Hispanic Esperanto Federation Library",4482
spain,Museo Etnológico de Ribadavia,4344
spain,Diocesan Seminary of Vitoria-Gasteiz,4221
spain,Dialnet,4086
spain,Museum of the Asturian People,3813
spain,González Martí National Museum of Ceramics and Sumptuary Arts,3748
spain,National Museum and Research Center of Altamira,3662
spain,Museum of Teruel,3656
spain,Museum of Navarra,3378
spain,University of Oviedo,3268
spain,Document Repository of the University of Valladolid,3199
spain,Casa de los Tiros Museum,3185
spain,Archivo de la Diputación Provincial de Badajoz,3171
spain,Repository of Teaching and Research Objects of the University of Cádiz,3127
spain,Capuchin Central Library of Spain,3124
